ID,Col,DayOfWeek,Date,Time,Col,TeamLocal,RedCardLocal,Col,TeamVisit,RedCardVisit,ScoreTeamLocal,ScoreTeamVisit,HalfTimeScore,Col,Col,Col,Col,Col,Col,Col,Col,Season,Col,Col,Col,Col
1314868,1,Sunday, Sep 23 2018,00:00,1303,Banfield,0,897,Independiente,1,1,1,1 : 0,1,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314870,1,Sunday, Sep 23 2018,15:00,4735,Tigre,1,898,Huracan,0,0,2,0 : 0,1,0,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314873,1,Sunday, Sep 23 2018,15:00,5595,San Martin de Tucuman,0,907,Argentinos Juniors,0,0,0,0 : 0,0,0,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314875,1,Sunday, Sep 23 2018,17:15,4736,San Martin San Juan,0,6148,Atletico Tucuman,0,1,3,0 : 0,1,0,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314867,1,Sunday, Sep 23 2018,17:15,896,Gimnasia LP,0,903,Rosario Central,0,1,1,0 : 1,1,0,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314863,1,Sunday, Sep 23 2018,21:45,889,Boca Juniors,0,905,River Plate,0,0,2,0 : 1,1,0,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314865,1,Monday, Sep 24 2018,22:00,6145,Aldosivi,0,894,Belgrano,0,2,0,0 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314866,1,Tuesday, Sep 25 2018,00:00,890,Racing Club,0,892,Union,0,1,0,0 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314883,1,Friday, Sep 28 2018,22:45,897,Independiente,0,4735,Tigre,0,0,0,0 : 0,0,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314884,1,Saturday, Sep 29 2018,01:15,899,Lanus,0,905,River Plate,0,1,5,1 : 1,1,1,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314877,1,Sunday, Sep 30 2018,00:00,907,Argentinos Juniors,0,890,Racing Club,0,0,2,0 : 1,1,1,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314880,1,Sunday, Sep 30 2018,17:15,9310,Patronato de Parana,0,893,Talleres,0,2,1,1 : 1,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314888,1,Sunday, Sep 30 2018,19:30,892,Union,0,896,Gimnasia LP,0,1,0,1 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314881,1,Sunday, Sep 30 2018,21:45,894,Belgrano,1,898,Huracan,0,0,1,0 : 1,1,1,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314876,1,Monday, Oct 1 2018,00:00,889,Boca Juniors,0,891,Colon,0,3,1,2 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314887,1,Monday, Oct 1 2018,23:00,3802,Godoy Cruz,1,6147,Defensa y Justicia,0,0,1,0 : 1,1,1,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314879,1,Tuesday, Oct 2 2018,01:15,895,Velez Sarsfield,0,6145,Aldosivi,0,2,0,0 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314886,1,Tuesday, Oct 2 2018,01:15,5595,San Martin de Tucuman,0,1303,Banfield,1,1,1,1 : 0,1,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314890,1,Saturday, Oct 6 2018,17:15,6145,Aldosivi,1,5595,San Martin de Tucuman,0,2,0,1 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314891,1,Saturday, Oct 6 2018,19:30,896,Gimnasia LP,2,3802,Godoy Cruz,0,1,0,0 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314900,1,Saturday, Oct 6 2018,21:45,4736,San Martin San Juan,1,895,Velez Sarsfield,1,3,1,1 : 1,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314893,1,Sunday, Oct 7 2018,00:00,9310,Patronato de Parana,0,897,Independiente,0,1,2,0 : 0,1,1,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314897,1,Sunday, Oct 7 2018,15:00,1303,Banfield,0,906,San Lorenzo,1,2,0,1 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314899,1,Sunday, Oct 7 2018,17:15,6148,Atletico Tucuman,0,899,Lanus,0,0,0,0 : 0,0,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314898,1,Sunday, Oct 7 2018,19:00,903,Rosario Central,0,892,Union,0,0,4,0 : 2,1,1,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314894,1,Sunday, Oct 7 2018,21:00,893,Talleres,0,894,Belgrano,1,3,0,1 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314896,1,Sunday, Oct 7 2018,23:00,890,Racing Club,1,889,Boca Juniors,0,2,2,1 : 0,1,1,FT,0,0,1,1,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314892,1,Monday, Oct 8 2018,23:00,4735,Tigre,0,901,Estudiantes,0,1,0,0 : 0,1,1,FT,1,0,1,1,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314901,1,Tuesday, Oct 9 2018,01:00,891,Colon,1,902,Newells Old Boys,0,1,0,1 : 0,1,1,FT,1,0,1,1,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314905,1,Friday, Oct 19 2018,23:00,6147,Defensa y Justicia,0,893,Talleres,0,2,0,2 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
